Industria,Total_Ofertas,Pct_Junior,Pct_Hibrido
TI,7,28.6,85.7
Retail,7,57.1,42.9
Financiero,7,14.3,85.7
Consultoría TI,6,16.7,66.7
Salud,4,50.0,25.0
Banca,3,33.3,66.7
Consultoría / Financiero,2,0.0,100.0
Logística,2,0.0,100.0
Desconocida,2,100.0,50.0
Corporativo,2,100.0,100.0
Minería,2,0.0,50.0
Tecnología / Datos,2,0.0,0.0
Tecnología,2,50.0,50.0
Servicios Financieros,2,100.0,100.0
Seguros,2,50.0,100.0
Consumo Masivo / Logística,1,100.0,0.0
Consumo Masivo,1,100.0,0.0
Consultoría TI / Telecomunicaciones,1,0.0,0.0
Consultoría Económica,1,100.0,0.0
Consultoría,1,100.0,0.0
Consultoría / Google Cloud,1,0.0,100.0
Banca / Cobranza,1,0.0,0.0
Compliance,1,0.0,100.0
,1,0.0,100.0
Acuícola,1,100.0,0.0
Alimentos,1,0.0,0.0
Agroindustria / Exportación,1,100.0,0.0
Industria / Alimentos,1,100.0,0.0
Energía / Utilities,1,0.0,0.0
Energía / Transmisión,1,0.0,0.0
Energía,1,100.0,100.0
Recursos Humanos,1,0.0,100.0
Minería / Laboratorio Químico,1,100.0,0.0
Minería / Construcción,1,100.0,0.0
Marketing,1,100.0,0.0
Industrial,1,0.0,0.0
Industrial/Mining,1,0.0,0.0
Forestal,1,0.0,0.0
Retail / Ecommerce,1,100.0,100.0
Retail / Media,1,100.0,0.0
Retail / Supermercado,1,100.0,0.0
Retail / Logística,1,0.0,100.0
Retail / Mall,1,100.0,0.0
Servicios Financieros / Seguros,1,100.0,100.0
Servicios / Operaciones,1,100.0,100.0
Seguros / Banca,1,100.0,100.0
Telecomunicaciones,1,0.0,0.0
