Oferta_ID,Empresa,Seniority,Tipo_Rol,Skill,Categoria
1,Equifax,Semi-Senior,BI / Analytics,SQL,Lenguaje
1,Equifax,Semi-Senior,BI / Analytics,Python,Lenguaje
1,Equifax,Semi-Senior,BI / Analytics,GCP / BigQuery,Cloud
1,Equifax,Semi-Senior,BI / Analytics,Looker,Herramienta BI
1,Equifax,Semi-Senior,BI / Analytics,Scrum,Metodología
2,IKEA (Grupo Falabella),Semi-Senior,BI / Analytics,SQL,Lenguaje
2,IKEA (Grupo Falabella),Semi-Senior,BI / Analytics,Power BI,Herramienta BI
2,IKEA (Grupo Falabella),Semi-Senior,BI / Analytics,GCP / BigQuery,Cloud
2,IKEA (Grupo Falabella),Semi-Senior,BI / Analytics,AWS,Cloud
2,IKEA (Grupo Falabella),Semi-Senior,BI / Analytics,Azure,Cloud
2,IKEA (Grupo Falabella),Semi-Senior,BI / Analytics,Inglés,Otros
2,IKEA (Grupo Falabella),Semi-Senior,BI / Analytics,IA Generativa,Avanzado
3,Principal Chile,Junior / Semi-Senior,BI / Analytics,SQL,Lenguaje
3,Principal Chile,Junior / Semi-Senior,BI / Analytics,Power BI,Herramienta BI
3,Principal Chile,Junior / Semi-Senior,BI / Analytics,Python,Lenguaje
3,Principal Chile,Junior / Semi-Senior,BI / Analytics,Excel,Herramienta BI
3,Principal Chile,Junior / Semi-Senior,BI / Analytics,AWS,Cloud
3,Principal Chile,Junior / Semi-Senior,BI / Analytics,Azure,Cloud
3,Principal Chile,Junior / Semi-Senior,BI / Analytics,Inglés,Otros
4,Grupo Falabella,Junior,BI / Analytics,SQL,Lenguaje
4,Grupo Falabella,Junior,BI / Analytics,Power BI,Herramienta BI
4,Grupo Falabella,Junior,BI / Analytics,Python,Lenguaje
5,Groupe SII,Senior,BI / Analytics,SQL,Lenguaje
5,Groupe SII,Senior,BI / Analytics,Tableau,Herramienta BI
5,Groupe SII,Senior,BI / Analytics,GCP / BigQuery,Cloud
5,Groupe SII,Senior,BI / Analytics,AWS,Cloud
5,Groupe SII,Senior,BI / Analytics,ETL / Pipelines,Metodología
6,Tata Consultancy Services,Junior,BI / Analytics,SQL,Lenguaje
6,Tata Consultancy Services,Junior,BI / Analytics,Power BI,Herramienta BI
6,Tata Consultancy Services,Junior,BI / Analytics,Python,Lenguaje
6,Tata Consultancy Services,Junior,BI / Analytics,Excel,Herramienta BI
7,Tigabytes CL,Senior,BI / Analytics,SQL,Lenguaje
7,Tigabytes CL,Senior,BI / Analytics,Power BI,Herramienta BI
7,Tigabytes CL,Senior,BI / Analytics,GCP / BigQuery,Cloud
7,Tigabytes CL,Senior,BI / Analytics,DAX,Lenguaje
7,Tigabytes CL,Senior,BI / Analytics,Scrum,Metodología
8,Mallplaza (Grupo Falabella),Junior / Semi-Senior,BI / Analytics,SQL,Lenguaje
8,Mallplaza (Grupo Falabella),Junior / Semi-Senior,BI / Analytics,Power BI,Herramienta BI
8,Mallplaza (Grupo Falabella),Junior / Semi-Senior,BI / Analytics,Excel,Herramienta BI
8,Mallplaza (Grupo Falabella),Junior / Semi-Senior,BI / Analytics,Tableau,Herramienta BI
8,Mallplaza (Grupo Falabella),Junior / Semi-Senior,BI / Analytics,Inglés,Otros
9,Empresa Confidencial,Junior / Semi-Senior,BI / Analytics,SQL,Lenguaje
9,Empresa Confidencial,Junior / Semi-Senior,BI / Analytics,Power BI,Herramienta BI
9,Empresa Confidencial,Junior / Semi-Senior,BI / Analytics,DAX,Lenguaje
9,Empresa Confidencial,Junior / Semi-Senior,BI / Analytics,Inglés,Otros
10,Step Therapy,Junior,Data Science / ML,SQL,Lenguaje
10,Step Therapy,Junior,Data Science / ML,Power BI,Herramienta BI
10,Step Therapy,Junior,Data Science / ML,Python,Lenguaje
10,Step Therapy,Junior,Data Science / ML,Tableau,Herramienta BI
11,Equifax,Senior,BI / Analytics,SQL,Lenguaje
11,Equifax,Senior,BI / Analytics,Python,Lenguaje
11,Equifax,Senior,BI / Analytics,GCP / BigQuery,Cloud
11,Equifax,Senior,BI / Analytics,AWS,Cloud
11,Equifax,Senior,BI / Analytics,Azure,Cloud
11,Equifax,Senior,BI / Analytics,Looker,Herramienta BI
12,Banco Bci,Junior / Semi-Senior,Data Science / ML,SQL,Lenguaje
12,Banco Bci,Junior / Semi-Senior,Data Science / ML,Power BI,Herramienta BI
12,Banco Bci,Junior / Semi-Senior,Data Science / ML,Python,Lenguaje
12,Banco Bci,Junior / Semi-Senior,Data Science / ML,Tableau,Herramienta BI
12,Banco Bci,Junior / Semi-Senior,Data Science / ML,Machine Learning,Avanzado
13,Apiux Tech,Semi-Senior,BI / Analytics,Power BI,Herramienta BI
13,Apiux Tech,Semi-Senior,BI / Analytics,GCP / BigQuery,Cloud
13,Apiux Tech,Semi-Senior,BI / Analytics,DAX,Lenguaje
13,Apiux Tech,Semi-Senior,BI / Analytics,Inglés,Otros
14,Grupo Falabella,Junior / Semi-Senior,BI / Analytics,SQL,Lenguaje
14,Grupo Falabella,Junior / Semi-Senior,BI / Analytics,Power BI,Herramienta BI
14,Grupo Falabella,Junior / Semi-Senior,BI / Analytics,Python,Lenguaje
14,Grupo Falabella,Junior / Semi-Senior,BI / Analytics,Looker,Herramienta BI
14,Grupo Falabella,Junior / Semi-Senior,BI / Analytics,Inglés,Otros
15,Tottus (Grupo Falabella),Junior / Semi-Senior,BI / Analytics,SQL,Lenguaje
