ID,Cargo,Empresa,Industria,Region,Fuente,Modalidad,Seniority,Salario,Exp_minima,Tipo_Rol,Notas,Es_Duplicado
1,Data Analyst,Equifax,Tecnología / Datos,"Providencia, RM",LinkedIn,Presencial,Semi-Senior,No especificado,3 años,BI / Analytics,Pide 3 años exp.,False
2,Analista de Inteligencia de Datos,IKEA (Grupo Falabella),Retail / Logística,"Las Condes, RM",LinkedIn,Híbrido,Semi-Senior,No especificado,2 años,BI / Analytics,Pide 2 años en BI y Fulfillment. +100 solicitudes.,False
3,Data Intelligence Analyst,Principal Chile,Servicios Financieros,"Gran Santiago, RM",LinkedIn,Híbrido,Junior / Semi-Senior,No especificado,0-2 años,BI / Analytics,"Acepta 0 exp. Viernes hasta 14:00, 39.5 hrs semanales.",False
4,Analista de Datos (HR),Grupo Falabella,Retail,"Gran Santiago, RM",LinkedIn,Híbrido,Junior,No especificado,1 año,BI / Analytics,"Enfocado en datos de RRHH. Skills técnicos solo deseables, no excluyentes.",False
5,Data Analyst,Groupe SII,Consultoría TI,"Las Condes, RM",LinkedIn,Híbrido,Senior,No especificado,3+ años,BI / Analytics,Muy senior. SQL y Tableau excluyentes con años específicos.,False
6,Analista de Datos Junior / Monitoreo,Tata Consultancy Services,Consultoría TI,"Gran Santiago, RM",LinkedIn,Híbrido,Junior,No especificado,No especificada,BI / Analytics,Turnos rotativos L-D 08:45-21:00. Ya postulaste. Sector banca/fraude deseable.,False
7,Data Analyst E-commerce,Tigabytes CL,Consultoría / Google Cloud,"Las Condes, RM",LinkedIn,Híbrido,Senior,No especificado,3+ años,BI / Analytics,Proyecto 12 meses. Power BI Expert excluyente. Muy senior.,False
8,Data Analyst,Mallplaza (Grupo Falabella),Retail / Mall,"Huechuraba, RM",LinkedIn,Presencial,Junior / Semi-Senior,No especificado,1 año,BI / Analytics,SQL y BI solo deseables. Foco en CX y retail regional. Proceso vía Aira.,False
9,Analista de BI,Empresa Confidencial,Desconocida,"Gran Santiago, RM",LinkedIn,Híbrido,Junior / Semi-Senior,No especificado,1 año,BI / Analytics,Power BI + SQL + IA excluyentes. DAX requerido. Foco en RRHH/clientes.,False
10,Analista de Ciencia de Datos,Step Therapy,Salud,"Ñuñoa, RM",LinkedIn,Presencial,Junior,No especificado,No especificada,Data Science / ML,Sin años de exp. requeridos. ML y salud. Presencial Ñuñoa 08:45-18:00.,False
11,Data Engineer,Equifax,Tecnología / Datos,"Providencia, RM",LinkedIn,Presencial,Senior,No especificado,3-5+ años,BI / Analytics,"Muy senior. Rol de ingeniería, no analítica pura.",False
12,Data Scientist,Banco Bci,Banca,"Las Condes, RM",LinkedIn,Remoto,Junior / Semi-Senior,No especificado,Hasta 2 años,Data Science / ML,ML y estadística fuertes. Power BI solo nociones. Banca con stack técnico exigente.,False
13,Analista BI,Apiux Tech,Consultoría TI,"Gran Santiago, RM",LinkedIn,Híbrido,Semi-Senior,No especificado,Semi-Senior (no especificada),BI / Analytics,Solo 10 solicitudes — baja competencia. DAX y BigQuery excluyentes.,False
14,Business Analyst,Grupo Falabella,Retail / Ecommerce,"Gran Santiago, RM",LinkedIn,Híbrido,Junior / Semi-Senior,No especificado,2 años,BI / Analytics,"Foco ecommerce/retail. Looker aparece como principal herramienta BI, no Power BI.",False
15,Analista de Inteligencia Comercial,Tottus (Grupo Falabella),Retail / Supermercado,"Gran Santiago, RM",LinkedIn,Remoto,Junior / Semi-Senior,No especificado,1 año,BI / Analytics,100% remoto. SQL excluyente. Foco en análisis comercial/retail. Proceso vía Aira.,False
16,BI Engineer,Cencosud Media,Retail / Media,"Las Condes, RM",LinkedIn,No especificado,Junior / Semi-Senior,No especificado,1 año,BI / Analytics,Solo 1 año exp. SQL y Power BI intermedios — accesible. Databricks deseable no excluyente.,False
17,CRM Business Analyst,Itaú Chile,Banca,"Gran Santiago, RM",LinkedIn,Híbrido,Semi-Senior,No especificado,No especificada,BI / Analytics,Sin años exp. explícitos. Foco CRM/banca. Power BI no mencionado. N°1 GPTW 2025.,False
18,"Analista de Datos (Fraude, Riesgo y Auditoría B2B)",Tata Consultancy Services,Consultoría TI / Telecomunicaciones,"Gran Santiago, RM",LinkedIn,Presencial,Semi-Senior,No especificado,2-3 años,BI / Analytics,46 solicitudes. Foco fraude/auditoría. Excel excluyente. Postular a p.herrera@tcs.com,False
19,Specialist Data Science,BHP,Minería,RM,LinkedIn,Híbrido,Senior,,6 años,Data Science / ML,Vacante Data Science Senior,False
20,Analista Programador SQL,SII Group,Consultoría TI,RM,LinkedIn,No especificado,Semi-Senior,,2+ años,Data Engineering,ETL y bases de datos,False
21,Analista de Pricing,Tottus,Retail,RM,LinkedIn,Remoto,Junior / Semi-Senior,,1+ años,Analista de Datos General,Análisis comercial,False
22,Líder de Analítica y Transformación,Empresa Confidencial,,RM,LinkedIn,Híbrido,Semi-Senior,,3+ años,BI / Analytics,Experiencia cliente,False
23,Automation Assistant Temporary,Kraft Heinz,Consumo Masivo,RM,LinkedIn,No especificado,Junior,,,BI / Analytics,Proyecto temporal,False
24,Service Excellence Operations Analyst,Johnson & Johnson MedTech,Salud,RM,LinkedIn,Híbrido,No especificado,,,BI / Analytics,Inglés intermedio,False
25,Ingeniero/a de Datos,BancoEstado,Financiero,RM,LinkedIn,Presencial,Semi-Senior,,2+ años,Data Engineering,Data Engineering,False
26,Analista Control de Gestión Compras,Blue Express,Logística,RM,LinkedIn,Híbrido,No especificado,,3+ años,BI / Analytics,Compras,False
27,BI & Data Scientist,SICPA,Tecnología,RM,LinkedIn,Híbrido,Semi-Senior,,3+ años,Data Science / ML,IA y MLOps,False
28,Product Manager Analytics CX,Banco Falabella,Financiero,RM,LinkedIn,Híbrido,Junior,,0-2 años,BI / Analytics,Analytics CX,False
29,Líder de Analítica Digital,Banco BICE,Financiero,RM,LinkedIn,Híbrido,Senior,,3+ años,BI / Analytics,Analítica digital,False
30,Analista Cuantitativo,Banco Central de Chile,Financiero,RM,LinkedIn,Híbrido,Senior,,Experiencia requerida,Analista de Datos General,Modelación financiera,False
31,Data & Analytics Strategy Executive,dentsu,Marketing,RM,LinkedIn,No especificado,Junior / Semi-Senior,,,Analista de Datos General,Experimentación,False
32,Analista Control Operaciones Siniestros Masivos,BNP Paribas Cardif,Seguros,RM,LinkedIn,Híbrido,No especificado,,1+ años,BI / Analytics,Control operacional,False
33,Research Analyst,Aurora Energy Research,Energía,RM,LinkedIn,Híbrido,Junior,,0-2 años,Analista de Datos General,Inglés C1,False
34,Analyst,Compass Lexecon,Consultoría Económica,RM,LinkedIn,Presencial,Junior,,,Analista de Datos General,Econometría,False
35,Data QA Analyst,Blend,Tecnología,Remoto,LinkedIn,Remoto,Junior / Semi-Senior,,1+ años,Data Engineering,QA de datos,False
36,Data Business Partner,Banco Bci,Financiero,RM,LinkedIn,Híbrido,Semi-Senior,,2-4 años,Data Engineering,Data Partner,False
37,Data Engineer GCP,KPaz,Consultoría TI,RM,LinkedIn,Híbrido,Semi-Senior,,3+ años,Data Engineering,"BigQuery, Composer",False
38,Data Scientist - Junior a Senior,Muck Consultores,Consultoría,RM,LinkedIn,Remoto,Junior / Semi-Senior,,,Data Science / ML,Sector financiero,False
39,Analista de Datos - SQL,Perceptual Consultores,Consultoría / Financiero,"Santiago Centro, RM",Trabajando.cl,Híbrido,Semi-Senior,A convenir,3 años,BI / Analytics,Primera oferta de Trabajando.cl. 3 años mínimo. Stack variado.,False
